Continente;Nombre;Tendencia;Puntos;Variacion(%);Variacion puntos;Puntos Anterior;Hora;Fecha;Fecha descarga
LATINOAMERICA;LIMA INDICE GENERAL;Baja;18708.69;-1.04;-197.06;18895.09; ;23-10-2018;24-10-2018 14:12:31.807000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 14:12:31.807000
Europa;IBEX 35;Sube;8799.60;+0.84;+73.50;8726.10;14:48;24-10-2018;24-10-2018 15:12:32.073000
Europa;BEL 20;Sube;3469.67;+0.94;+32.28;3437.39;14:49;24-10-2018;24-10-2018 15:12:32.073000
Europa;DAX;Sube;11361.90;+0.78;+87.62;11274.28;14:49;24-10-2018;24-10-2018 15:12:32.073000
Europa;CAC 40;Sube;5034.48;+1.34;+66.79;4967.69;14:49;24-10-2018;24-10-2018 15:12:32.073000
Europa;FTSE 100;Sube;7037.24;+1.18;+82.03;6955.21;14:48;24-10-2018;24-10-2018 15:12:32.073000
Europa;PSI 20;Sube;4974.14;+0.84;+41.59;4932.55;14:49;24-10-2018;24-10-2018 15:12:32.073000
Europa;EURO STOXX 50®;Sube;3179.03;+1.21;+38.09;3140.94;14:49;24-10-2018;24-10-2018 15:12:32.073000
Europa;ECO10;Sube;127.53;+0.94;+1.19;126.34;14:49;24-10-2018;24-10-2018 15:12:32.073000
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 15:12:32.073000
EEUU;DOW JONES;Baja;25191.43;-0.50;-125.98;25317.41; ;23-10-2018;24-10-2018 15:12:32.073000
EEUU;NASDAQ 100;Baja;7118.67;-0.32;-22.54;7141.21; ;23-10-2018;24-10-2018 15:12:32.073000
EEUU;S P 500;Baja;2740.69;-0.55;-15.19;2755.88; ;23-10-2018;24-10-2018 15:12:32.073000
EEUU;NASDAQ COMPOSITE;Baja;7437.54;-0.42;-31.09;7468.63; ;23-10-2018;24-10-2018 15:12:32.073000
Asia;NIKKEI 225;Sube;22091.18;+0.37;+80.40;22010.78;08:15;24-10-2018;24-10-2018 15:12:32.073000
LATINOAMERICA;IPC MEXICO;Baja;46449.03;-1.09;-513.71;47437.45; ;23-10-2018;24-10-2018 15:12:32.073000
LATINOAMERICA;Merval;Sube;28359.72;+0.00;+0.00;28567.78;13:02;24-10-2018;24-10-2018 15:12:32.073000
LATINOAMERICA;IPSA;Sube;3785.17;+0.14;+5.28;3779.89;14:43;24-10-2018;24-10-2018 15:12:32.073000
LATINOAMERICA;LIMA INDICE GENERAL;Baja;18708.69;-1.04;-197.06;18895.09; ;23-10-2018;24-10-2018 15:12:32.073000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 15:12:32.073000
Europa;IBEX 35;Sube;8768.20;+0.48;+42.10;8726.10;15:52;24-10-2018;24-10-2018 16:12:32.386000
Europa;BEL 20;Sube;3456.63;+0.56;+19.24;3437.39;15:53;24-10-2018;24-10-2018 16:12:32.386000
Europa;DAX;Sube;11317.62;+0.38;+43.34;11274.28;15:53;24-10-2018;24-10-2018 16:12:32.386000
Europa;CAC 40;Sube;5017.33;+1.00;+49.64;4967.69;15:53;24-10-2018;24-10-2018 16:12:32.386000
Europa;FTSE 100;Sube;7017.21;+0.89;+62.00;6955.21;15:53;24-10-2018;24-10-2018 16:12:32.386000
Europa;PSI 20;Sube;4964.70;+0.65;+32.15;4932.55;15:53;24-10-2018;24-10-2018 16:12:32.386000
Europa;EURO STOXX 50®;Sube;3166.70;+0.82;+25.76;3140.94;15:53;24-10-2018;24-10-2018 16:12:32.386000
Europa;ECO10;Sube;127.28;+0.74;+0.94;126.34;15:53;24-10-2018;24-10-2018 16:12:32.386000
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 16:12:32.386000
EEUU;DOW JONES;Sube;25213.93;+0.09;+22.50;25191.43;15:53;24-10-2018;24-10-2018 16:12:32.386000
EEUU;NASDAQ 100;Baja;7079.81;-0.55;-38.86;7118.67;15:53;24-10-2018;24-10-2018 16:12:32.386000
EEUU;S P 500;Baja;2734.52;-0.23;-6.17;2740.69;15:58;24-10-2018;24-10-2018 16:12:32.386000
EEUU;NASDAQ COMPOSITE;Baja;7405.21;-0.43;-32.33;7437.54;15:53;24-10-2018;24-10-2018 16:12:32.386000
Asia;NIKKEI 225;Sube;22091.18;+0.37;+80.40;22010.78;08:15;24-10-2018;24-10-2018 16:12:32.386000
LATINOAMERICA;IPC MEXICO;Baja;46438.54;-0.02;-10.49;46449.03;15:48;24-10-2018;24-10-2018 16:12:32.386000
LATINOAMERICA;Merval;Sube;28359.72;+0.00;+0.00;28567.78;13:02;24-10-2018;24-10-2018 16:12:32.386000
LATINOAMERICA;IPSA;Sube;3799.68;+0.52;+19.79;3779.89;15:47;24-10-2018;24-10-2018 16:12:32.386000
LATINOAMERICA;LIMA INDICE GENERAL;Sube;18723.33;+0.08;+14.64;18708.69;15:44;24-10-2018;24-10-2018 16:12:32.386000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 16:12:32.386000
Europa;IBEX 35;Sube;8737.50;+0.13;+11.40;8726.10;16:50;24-10-2018;24-10-2018 17:12:32.622000
Europa;BEL 20;Sube;3445.21;+0.23;+7.82;3437.39;16:51;24-10-2018;24-10-2018 17:12:32.622000
Europa;DAX;Sube;11280.20;+0.05;+5.92;11274.28;16:51;24-10-2018;24-10-2018 17:12:32.622000
Europa;CAC 40;Sube;4995.79;+0.57;+28.10;4967.69;16:51;24-10-2018;24-10-2018 17:12:32.622000
Europa;FTSE 100;Sube;6995.76;+0.58;+40.55;6955.21;16:51;24-10-2018;24-10-2018 17:12:32.622000
Europa;PSI 20;Sube;4951.92;+0.39;+19.37;4932.55;16:50;24-10-2018;24-10-2018 17:12:32.622000
Europa;EURO STOXX 50®;Sube;3155.76;+0.47;+14.82;3140.94;16:51;24-10-2018;24-10-2018 17:12:32.622000
Europa;ECO10;Sube;126.69;+0.28;+0.35;126.34;16:51;24-10-2018;24-10-2018 17:12:32.622000
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 17:12:32.622000
EEUU;DOW JONES;Baja;25084.55;-0.42;-106.88;25191.43;16:50;24-10-2018;24-10-2018 17:12:32.622000
EEUU;NASDAQ 100;Baja;7058.61;-0.84;-60.06;7118.67;16:51;24-10-2018;24-10-2018 17:12:32.622000
EEUU;S P 500;Baja;2723.07;-0.64;-17.62;2740.69;16:56;24-10-2018;24-10-2018 17:12:32.622000
EEUU;NASDAQ COMPOSITE;Baja;7375.64;-0.83;-61.90;7437.54;16:51;24-10-2018;24-10-2018 17:12:32.622000
Asia;NIKKEI 225;Sube;22091.18;+0.37;+80.40;22010.78;08:15;24-10-2018;24-10-2018 17:12:32.622000
LATINOAMERICA;IPC MEXICO;Baja;46200.02;-0.54;-251.73;46449.03;16:46;24-10-2018;24-10-2018 17:12:32.622000
LATINOAMERICA;Merval;Baja;28303.60;-0.20;-56.12;28359.72;16:45;24-10-2018;24-10-2018 17:12:32.622000
LATINOAMERICA;IPSA;Sube;3810.93;+0.82;+31.04;3779.89;16:45;24-10-2018;24-10-2018 17:12:32.622000
LATINOAMERICA;LIMA INDICE GENERAL;Sube;18761.48;+0.28;+52.79;18708.69;16:39;24-10-2018;24-10-2018 17:12:32.622000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 17:12:32.622000
